_id,Measure,Race_Ethnicity,Estimate,State,Ratio
ObjectId("5ea70f4c0e750000200368dd"),Adults who reported getting the help or advice they needed the same day they contacted their home health providers,White,23.8,Alabama,0.2%
ObjectId("5ea70f4c0e750000200368de"),Home health care patients whose shortness of breath decreased,White,76.8,Alabama,0.3%
ObjectId("5ea70f4c0e750000200368df"),Adults who reported a home health provider talking with them about how to set up their home so they can move around safely when they first started getting home health care,White,79.6,Alabama,0.6%
ObjectId("5ea70f4c0e750000200368e0"),Adults who reported that home health providers talked with them about when to take medicines in the last 2 months of care,White,33.6,Alabama,0.8%
ObjectId("5ea70f4c0e750000200368e1"),Home health patients who had improvement in upper body dressing,White,76.4,Alabama,1.3%
ObjectId("5ea70f4c0e750000200368e2"),Adults who reported that home health providers always kept them informed about when they would arrive at their home in the last 2 months of care,White,81.5,Alabama,2.1%
ObjectId("5ea70f4c0e750000200368e3"),Long-stay nursing home residents who were assessed for pneumococcal vaccination,White,95.7,Alabama,2.3%
ObjectId("5ea70f4c0e750000200368e4"),Short-stay nursing home residents who were assessed for pneumococcal vaccination,White,92,Alabama,3.4%
ObjectId("5ea70f4c0e750000200368e5"),Short-stay home health patients who had diabetic foot care and patient education,White,95.1,Alabama,3.5%
ObjectId("5ea70f4c0e750000200368e6"),Long-stay nursing home patients who were assessed and appropriately given the seasonal influenza vaccine,White,90.7,Alabama,3.6%
ObjectId("5ea70f4c0e750000200368e7"),Long-stay nursing home residents whose  ability to move independently worsened,White,14.4,Alabama,4.8%
ObjectId("5ea70f4c0e750000200368e8"),Adults who received a blood cholesterol measurement in the last 5 years,White,78.3,Alabama,4.8%
ObjectId("5ea70f4c0e750000200368e9"),Adults who reported getting the help or advice they needed when they contacted their home health providers in the last 2 months of care,White,28.7,Alabama,5.7%
ObjectId("5ea70f4c0e750000200368ea"),Short-stay nursing home patients who had flu vaccination appropriately given,White,86.9,Alabama,6.5%
ObjectId("5ea70f4c0e750000200368eb"),Adults age 65 and over who received an influenza vaccination in the last flu season,White,65.3,Alabama,7.1%
ObjectId("5ea70f4c0e750000200368ec"),Adults age 65 and over who ever received pneumococcal vaccination,White,72.6,Alabama,7.8%
ObjectId("5ea70f4c0e750000200368ed"),Long-stay nursing home residents have depressive symptoms,White,1.2,Alabama,7.8%
ObjectId("5ea70f4c0e750000200368ee"),Home health patients who had influenza vaccination during flu season,White,77.2,Alabama,9.0%
ObjectId("5ea70f4c0e750000200368ef"),Long-stay nursing home residents whose need for help with daily activities increased,Black,11.7,Alabama,10.2%
ObjectId("5ea70f4c0e750000200368f0"),Adults ages 18-64 at high risk (e.g., COPD) who received an influenza vaccination in the last flu season,Black,42.7,Alabama,10.6%
ObjectId("5ea70f4c0e750000200368f1"),Adult hospital patients who sometimes or never had good communication about medications they received in the hospital,Black,8.6,Alabama,10.8%
ObjectId("5ea70f4c0e750000200368f2"),Adults age 40 and over with diagnosed diabetes who received a flu vaccination in the calendar year,Black,57.3,Alabama,13.0%
ObjectId("5ea70f4c0e750000200368f3"),Low-risk, long-stay nursing home residents with a catheter inserted and left in the bladder,Black,2.9,Alabama,13.4%
ObjectId("5ea70f4c0e750000200368f4"),Home health patients who had pneumococcal polysaccharide vaccination,Black,74.3,Alabama,13.7%
ObjectId("5ea70f4c0e750000200368f5"),Home health care patients whose surgical wound was improved,Black,93,Alabama,15.8%
ObjectId("5ea70f4c0e750000200368f6"),Long-stay nursing home residents with a urinary tract infection,Black,3.8,Alabama,16.4%
ObjectId("5ea70f4c0e750000200368f7"),Home health care patients who stayed at home after an episode of home health care,Black,64.6,Alabama,16.6%
ObjectId("5ea70f4c0e750000200368f8"),Adults ages 18-64 at high risk (e.g., COPD) who ever received pneumococcal vaccination,Black,34.7,Alabama,22.6%
ObjectId("5ea70f4c0e750000200368f9"),Short-stay nursing home residents with moderate to severe pain,Black,13.7,Alabama,26.6%
ObjectId("5ea70f4c0e750000200368fa"),Adults who needed care right away for an illness, injury, or condition in the last 12 months who sometimes or never got care as soon as wanted, Medicare managed care,Black,5.5,Alabama,26.9%
ObjectId("5ea70f4c0e750000200368fb"),Adults who had a doctor's office or clinic visit in the last 12 months and needed care, tests, or treatment who sometimes or never found it easy to get the care, tests, or treatment, Medicare managed care,Black,6.2,Alabama,27.1%
ObjectId("5ea70f4c0e750000200368fc"),Adult hospital patients who did not receive good communication about discharge information,Black,9.9,Alabama,28.2%
ObjectId("5ea70f4c0e750000200368fd"),High-risk, long-stay nursing home patients with pressure ulcer,Black,4.5,Alabama,31.5%
ObjectId("5ea70f4c0e750000200368fe"),Short-stay nursing home patients with pressure ulcers that are new or worsened,Black,0.4,Alabama,35.7%
ObjectId("5ea70f4c0e750000200368ff"),Rating of health care 0-6 on a scale from 0 (worst grade) to 10 (best grade) by adults who had a doctor´s office or clinic visit in the last 12 months, Medicare fee-for-service,Black,12.4,Alabama,41.2%
ObjectId("5ea70f4c0e75000020036900"),Adults who had a doctor´s office or clinic visit in the last 12 months who sometimes or never got advice to quit smoking from provider, Medicare managed care,Black,39.1,Alabama,41.2%
ObjectId("5ea70f4c0e75000020036901"),Long-stay nursing home patients experiencing one or more falls with major injury,Black,0.6,Alabama,48.8%
ObjectId("5ea70f4c0e75000020036902"),Adults who had a doctor´s office or clinic visit in the last 12 months who sometimes or never got advice to quit smoking from provider, Medicare fee-for-service,Black,43.1,Alabama,49.4%
ObjectId("5ea70f4c0e75000020036903"),Long-stay nursing home residents with too much weight loss,Black,8.1,Alabama,49.6%
ObjectId("5ea70f4c0e75000020036904"),Adult hospital patients who strongly disagree or disagree that staff took their preferences and those of their family and caregiver into account when deciding what the patients discharge health care would be,Hispanic,4.9,Alabama,51.2%
ObjectId("5ea70f4c0e75000020036905"),Adults who had a doctor's office or clinic visit in the last 12 months and needed care, tests, or treatment who sometimes or never found it easy to get the care, tests, or treatment, Medicare fee-for-service,Hispanic,6.7,Alabama,53.2%
ObjectId("5ea70f4c0e75000020036906"),Rating of health care 0-6 on a scale from 0 (worst grade) to 10 (best grade) by adults who had a doctor´s office or clinic visit in the last 12 months, Medicare managed care,Hispanic,11.3,Alabama,57.8%
ObjectId("5ea70f4c0e75000020036907"),Long-stay nursing home residents with moderate to severe pain,Hispanic,7.7,Alabama,64.5%
ObjectId("5ea70f4c0e75000020036908"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never explained things in a way they could understand, Medicare fee-for-service,Hispanic,4.4,Alabama,64.5%
ObjectId("5ea70f4c0e75000020036909"),Home health care patients who had to be admitted to the hospital,Hispanic,29.6,Alabama,66.9%
ObjectId("5ea70f4c0e7500002003690a"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never showed respect for what they had to say, Medicare fee-for-service,Hispanic,4.2,Alabama,72.7%
ObjectId("5ea70f4c0e7500002003690b"),Home health care patients who had an emergency department visit and then hospitalized,Hispanic,23.8,Alabama,75.8%
ObjectId("5ea70f4c0e7500002003690c"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully to them, Medicare fee-for-service,Hispanic,5.7,Alabama,79.1%
ObjectId("5ea70f4c0e7500002003690d"),Adults who needed to see a specialist in the last 12 months who sometimes or never found it easy to see a specialist, Medicare managed care,Hispanic,12.1,Alabama,90.1%
ObjectId("5ea70f4c0e7500002003690e"),Adults who had a doctor´s office or clinic visit in the last 12 months whose health providers sometimes or never spent enough time with them, Medicare fee-for-service,Hispanic,7.3,Alabama,91.4%
ObjectId("5ea70f4c0e7500002003690f"),Long-stay nursing home residents with physical restraints,Hispanic,0.6,Alabama,156.5%
ObjectId("5ea70f4c0e75000020036910"),Low-risk, long-stay nursing home residents with loss of control of bowels or bladder,Hispanic,44.2,Alabama,164.7%
ObjectId("5ea70f4c0e75000020036911"),Short-stay home health patients who had drug education on all medications,NHPI,98.7,Alabama,
ObjectId("5ea70f4c0e75000020036912"),Composite measure: Adults ages 50-75 who received any type of colorectal cancer screening,NHPI,70.1,Alabama,
ObjectId("5ea70f4c0e75000020036913"),People who needed to see a doctor but could not because of cost in the past 12 months,NHPI,14.9,Alabama,
ObjectId("5ea70f4c0e75000020036914"),Composite measure: Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully, explained things clearly, respected what they had to say, and spent enough time with them, Medicare fee,NHPI,5.4,Alabama,
ObjectId("5ea70f4c0e75000020036915"),Adult hospital patients who strongly agree that they understood the purpose for taking each of their medications after discharge,NHPI,52.8,Alabama,
ObjectId("5ea70f4c0e75000020036916"),Adult hospital patients who strongly agree that they understood how to manage their health after discharge,NHPI,55.5,Alabama,
ObjectId("5ea70f4c0e75000020036917"),Adult hospital patients who always had good communication with doctors in the hospital,NHPI,83.5,Alabama,
ObjectId("5ea70f4c0e75000020036918"),Adult hospital patients who always had good communication with nurses in the hospital,NHPI,81.8,Alabama,
ObjectId("5ea70f4c0e75000020036919"),Long-stay nursing home residents have depressive symptoms,White,0.5,Alabama,53%
ObjectId("5ea70f4c0e7500002003691a"),Long-stay nursing home patients experiencing one or more falls with major injury,White,0.3,Alabama,29%
ObjectId("5ea70f4c0e7500002003691b"),Long-stay nursing home residents with a urinary tract infection,White,2.4,Alabama,28%
ObjectId("5ea70f4c0e7500002003691c"),Long-stay nursing home residents with moderate to severe pain,White,4.1,Alabama,14%
ObjectId("5ea70f4c0e7500002003691d"),Adults who reported a home health provider asking to see all the prescription and over-the-counter medicines they were taking, when they first started getting home health care,White,93.4,Alabama,9%
ObjectId("5ea70f4c0e7500002003691e"),Adults who reported that home health providers always seem informed and up-to-date about all the cares or treatments they got at home in the last 2 months of care,White,72.2,Alabama,7%
ObjectId("5ea70f4c0e7500002003691f"),Adult hospital patients who sometimes or never had good communication about medications they received in the hospital,White,7.3,Alabama,6%
ObjectId("5ea70f4c0e75000020036920"),Adults who reported a home health provider talking with them about all the prescription and over-the-counter medicines they were taking when they first started getting home health care,White,91.3,Alabama,3%
ObjectId("5ea70f4c0e75000020036921"),Home health care patients whose management of oral medications improved,White,68,Alabama,3%
ObjectId("5ea70f4c0e75000020036922"),Home health care patients whose pain when moving around decreased,White,75.9,Alabama,3%
ObjectId("5ea70f4c0e75000020036923"),Adults who reported that home health providers always kept them informed about when they would arrive at their home in the last 2 months of care,White,85.3,Alabama,2%
ObjectId("5ea70f4c0e75000020036924"),Adults who reported that home health providers always explained things in a way that was easy to understand in the last 2 months of care,White,88.6,Alabama,2%
ObjectId("5ea70f4c0e75000020036925"),Adults who reported that home health providers talk about pain in the last 2 months of care,White,93,Alabama,2%
ObjectId("5ea70f4c0e75000020036926"),Adults who reported that home health providers always listen carefully to them in the last 2 months of care,White,89.4,Alabama,2%
ObjectId("5ea70f4c0e75000020036927"),Home health care patients whose bathing improved,White,76.3,Alabama,1%
ObjectId("5ea70f4c0e75000020036928"),Short-stay nursing home residents with moderate to severe pain,White,10.7,Alabama,1%
ObjectId("5ea70f4c0e75000020036929"),Adults who reported that home health providers always treated them with courtesy and respect in the last 2 months of care,White,95.5,Alabama,1%
ObjectId("5ea70f4c0e7500002003692a"),Adults who reported that home health providers always treated them as gently as possible in the last 2 months of care,White,92.5,Alabama,0.0%
ObjectId("5ea70f4c0e7500002003692b"),Home health care patients whose ability to walk or move around improved,White,71.5,Alabama,0.0%
ObjectId("5ea70f4c0e7500002003692c"),Adults who reported being told what care and services they would get when they first started getting home health care,White,90.9,Alabama,0.5%
ObjectId("5ea70f4c0e7500002003692d"),Adults who did not have any problem with the care they received from their home health providers in the last 2 months of care,White,93.3,Alabama,0.8%
ObjectId("5ea70f4c0e7500002003692e"),Adults who reported a home health provider talking with them about how to set up their home so they can move around safely when they first started getting home health care,White,78.9,Alabama,1.5%
ObjectId("5ea70f4c0e7500002003692f"),Home health care patients whose shortness of breath decreased,White,75.8,Alabama,1.6%
ObjectId("5ea70f4c0e75000020036930"),Adults who had a doctor´s office or clinic visit in the last 12 months who sometimes or never got advice to quit smoking from provider, Medicare managed care,White,28.4,Alabama,2.4%
ObjectId("5ea70f4c0e75000020036931"),Short-stay home health patients who had diabetic foot care and patient education,White,96,Alabama,2.6%
ObjectId("5ea70f4c0e75000020036932"),Home health care patients whose ability to get in and out of bed improved,White,68.4,Alabama,2.6%
ObjectId("5ea70f4c0e75000020036933"),Adults who received a blood cholesterol measurement in the last 5 years,White,78.9,Alabama,4.1%
ObjectId("5ea70f4c0e75000020036934"),Home health patients who had improvement in upper body dressing,White,73.6,Alabama,4.9%
ObjectId("5ea70f4c0e75000020036935"),Long-stay nursing home residents who were assessed for pneumococcal vaccination,White,92.3,Alabama,5.8%
ObjectId("5ea70f4c0e75000020036936"),Adults ages 18-64 at high risk (e.g., COPD) who ever received pneumococcal vaccination,White,42.1,Alabama,6.1%
ObjectId("5ea70f4c0e75000020036937"),Adults ages 18-64 at high risk (e.g., COPD) who received an influenza vaccination in the last flu season,White,44.5,Alabama,6.9%
ObjectId("5ea70f4c0e75000020036938"),Home health care patients who had an emergency department visit without a hospitalization,White,3.1,Alabama,7.3%
ObjectId("5ea70f4c0e75000020036939"),Long-stay nursing home residents whose  ability to move independently worsened,White,15,Alabama,9.2%
ObjectId("5ea70f4c0e7500002003693a"),Short-stay nursing home residents who were assessed for pneumococcal vaccination,White,86.2,Alabama,9.5%
ObjectId("5ea70f4c0e7500002003693b"),Adults who reported that home health providers talked with them about when to take medicines in the last 2 months of care,White,30.6,Alabama,9.7%
ObjectId("5ea70f4c0e7500002003693c"),Adults home health patients age 18 and over who reported that home health providers talked with them about the side effects of medicines in the last 2 months of care,White,26.6,Alabama,10.0%
ObjectId("5ea70f4c0e7500002003693d"),Adults who reported that home health providers talked with them about the purpose for taking their new or changed prescription medicines in the last 2 months of care,Black,32.2,Alabama,10.4%
ObjectId("5ea70f4c0e7500002003693e"),Long-stay nursing home patients who were assessed and appropriately given the seasonal influenza vaccine,Black,84.3,Alabama,10.4%
ObjectId("5ea70f4c0e7500002003693f"),Adults who reported getting the help or advice they needed when they contacted their home health providers in the last 2 months of care,Black,27.1,Alabama,10.9%
ObjectId("5ea70f4c0e75000020036940"),Home health care patients whose surgical wound was improved,Black,90.4,Alabama,12.5%
ObjectId("5ea70f4c0e75000020036941"),Adults who reported getting the help or advice they needed the same day they contacted their home health providers,Black,19.6,Alabama,17.8%
ObjectId("5ea70f4c0e75000020036942"),Home health patients who had influenza vaccination during flu season,Black,67.8,Alabama,20.0%
ObjectId("5ea70f4c0e75000020036943"),Short-stay nursing home patients who had flu vaccination appropriately given,Black,74.1,Alabama,20.2%
ObjectId("5ea70f4c0e75000020036944"),Home health care patients who stayed at home after an episode of home health care,Black,61.3,Alabama,20.9%
ObjectId("5ea70f4c0e75000020036945"),Long-stay nursing home residents whose need for help with daily activities increased,Black,13.3,Alabama,25.2%
ObjectId("5ea70f4c0e75000020036946"),Adult hospital patients who did not receive good communication about discharge information,Black,9.8,Alabama,26.9%
ObjectId("5ea70f4c0e75000020036947"),Home health patients who had pneumococcal polysaccharide vaccination,Black,62.8,Alabama,27.1%
ObjectId("5ea70f4c0e75000020036948"),Adults age 65 and over who ever received pneumococcal vaccination,Black,57.2,Alabama,27.3%
ObjectId("5ea70f4c0e75000020036949"),Adults age 40 and over with diagnosed diabetes who received a flu vaccination in the calendar year,Black,46.9,Alabama,28.8%
ObjectId("5ea70f4c0e7500002003694a"),Adults age 65 and over who received an influenza vaccination in the last flu season,Black,49.1,Alabama,30.2%
ObjectId("5ea70f4c0e7500002003694b"),Long-stay nursing home residents with too much weight loss,Black,7.5,Alabama,39.6%
ObjectId("5ea70f4c0e7500002003694c"),Adults who had an appointment for routine health care in the last 12 months who sometimes or never got an appointments for routine care as soon as wanted, Medicare managed care,Black,12.2,Alabama,47.9%
ObjectId("5ea70f4c0e7500002003694d"),Low-risk, long-stay nursing home residents with a catheter inserted and left in the bladder,Hispanic,4.2,Alabama,63.8%
ObjectId("5ea70f4c0e7500002003694e"),Adults who had an appointment for routine health care in the last 12 months who sometimes or never got an appointments for routine care as soon as wanted, Medicare fee-for-service,Hispanic,16.8,Alabama,75.9%
ObjectId("5ea70f4c0e7500002003694f"),Adult hospital patients who strongly disagree or disagree that staff took their preferences and those of their family and caregiver into account when deciding what the patients discharge health care would be,Hispanic,6.1,Alabama,88.3%
ObjectId("5ea70f4c0e75000020036950"),Home health care patients who had to be admitted to the hospital,Hispanic,33.5,Alabama,88.8%
ObjectId("5ea70f4c0e75000020036951"),Home health care patients who had an emergency department visit and then hospitalized,Hispanic,25.6,Alabama,89.1%
ObjectId("5ea70f4c0e75000020036952"),Adults who needed care right away for an illness, injury, or condition in the last 12 months who sometimes or never got care as soon as wanted, Medicare managed care,Hispanic,8.3,Alabama,91.3%
ObjectId("5ea70f4c0e75000020036953"),Adults who needed to see a specialist in the last 12 months who sometimes or never found it easy to see a specialist, Medicare managed care,Hispanic,12.9,Alabama,101.3%
ObjectId("5ea70f4c0e75000020036954"),Rating of health care 0-6 on a scale from 0 (worst grade) to 10 (best grade) by adults who had a doctor´s office or clinic visit in the last 12 months, Medicare fee-for-service,Hispanic,18.4,Alabama,110.3%
ObjectId("5ea70f4c0e75000020036955"),Adults who had a doctor's office or clinic visit in the last 12 months and needed care, tests, or treatment who sometimes or never found it easy to get the care, tests, or treatment, Medicare managed care,Hispanic,10.5,Alabama,113.9%
ObjectId("5ea70f4c0e75000020036956"),Rating of health care 0-6 on a scale from 0 (worst grade) to 10 (best grade) by adults who had a doctor´s office or clinic visit in the last 12 months, Medicare managed care,Hispanic,15.6,Alabama,118.3%
ObjectId("5ea70f4c0e75000020036957"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never explained things in a way they could understand, Medicare managed care,Hispanic,4.2,Alabama,121.4%
ObjectId("5ea70f4c0e75000020036958"),Adults who had a doctor´s office or clinic visit in the last 12 months whose health providers sometimes or never spent enough time with them, Medicare fee-for-service,Hispanic,8.6,Alabama,125.3%
ObjectId("5ea70f4c0e75000020036959"),Long-stay nursing home residents with physical restraints,Hispanic,0.5,Alabama,126.1%
ObjectId("5ea70f4c0e7500002003695a"),Short-stay nursing home patients with pressure ulcers that are new or worsened,Hispanic,0.6,Alabama,128.6%
ObjectId("5ea70f4c0e7500002003695b"),High-risk, long-stay nursing home patients with pressure ulcer,Hispanic,7.9,Alabama,132.6%
ObjectId("5ea70f4c0e7500002003695c"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never showed respect for what they had to say, Medicare managed care,Hispanic,4.2,Alabama,150.6%
ObjectId("5ea70f4c0e7500002003695d"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never explained things in a way they could understand, Medicare fee-for-service,Hispanic,7.2,Alabama,171.7%
ObjectId("5ea70f4c0e7500002003695e"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully to them, Medicare fee-for-service,Hispanic,8.9,Alabama,182.9%
ObjectId("5ea70f4c0e7500002003695f"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully to them, Medicare managed care,Hispanic,6.8,Alabama,183.3%
ObjectId("5ea70f4c0e75000020036960"),Adults who needed to see a specialist in the last 12 months who sometimes or never found it easy to see a specialist, Medicare fee-for-service,Hispanic,21.2,Alabama,192.4%
ObjectId("5ea70f4c0e75000020036961"),Adults who had a doctor's office or clinic visit in the last 12 months and needed care, tests, or treatment who sometimes or never found it easy to get the care, tests, or treatment, Medicare fee-for-service,Hispanic,13.7,Alabama,213.7%
ObjectId("5ea70f4c0e75000020036962"),Low-risk, long-stay nursing home residents with loss of control of bowels or bladder,Hispanic,53.8,Alabama,222.2%
ObjectId("5ea70f4c0e75000020036963"),Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never spent enough time with them, Medicare managed care,Hispanic,9.6,Alabama,248.0%
ObjectId("5ea70f4c0e75000020036964"),Adults who needed care right away for an illness, injury, or condition in the last 12 months who sometimes or never got care as soon as wanted, Medicare fee-for-service,Hispanic,23.7,Alabama,321.7%
ObjectId("5ea70f4c0e75000020036965"),Short-stay home health patients who had drug education on all medications,NHPI,98.7,Alabama,
ObjectId("5ea70f4c0e75000020036966"),Composite measure: Adults ages 50-75 who received any type of colorectal cancer screening,NHPI,71.3,Alabama,
ObjectId("5ea70f4c0e75000020036967"),People who needed to see a doctor but could not because of cost in the past 12 months,NHPI,19.1,Alabama,
ObjectId("5ea70f4c0e75000020036968"),Composite measure: Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully, explained things clearly, respected what they had to say, and spent enough time with them, Medicare man,NHPI,6.2,Alabama,
ObjectId("5ea70f4c0e75000020036969"),Composite measure: Adults who had a doctor's office or clinic visit in the last 12 months whose health providers sometimes or never listened carefully, explained things clearly, respected what they had to say, and spent enough time with them, Medicare fee,NHPI,7.8,Alabama,
ObjectId("5ea70f4c0e7500002003696a"),Adult hospital patients who always had good communication with nurses in the hospital,NHPI,85.4,Alabama,
ObjectId("5ea70f4c0e7500002003696b"),Adult hospital patients who always had good communication with doctors in the hospital,NHPI,87.5,Alabama,
ObjectId("5ea70f4c0e7500002003696c"),Adult hospital patients who strongly agree that they understood the purpose for taking each of their medications after discharge,NHPI,52.4,Alabama,
ObjectId("5ea70f4c0e7500002003696d"),Adult hospital patients who strongly agree that they understood how to manage their health after discharge,NHPI,56.4,Alabama,
ObjectId("5ea70f4c0e7500002003696e"),Home health care patients whose management of oral medications improved,White,68.6,Alabama,4%
ObjectId("5ea70f4c0e7500002003696f"),Home health care patients whose shortness of breath decreased,White,77.9,Alabama,1%
ObjectId("5ea70f4c0e75000020036970"),Home health care patients whose bathing improved,White,76.1,Alabama,1%
ObjectId("5ea70f4c0e75000020036971"),Short-stay home health patients who had diabetic foot care and patient education,White,98.4,Alabama,0.2%
ObjectId("5ea70f4c0e75000020036972"),Home health care patients whose ability to walk or move around improved,White,71.2,Alabama,0.4%
ObjectId("5ea70f4c0e75000020036973"),Home health care patients whose pain when moving around decreased,White,73.4,Alabama,0.5%
ObjectId("5ea70f4c0e75000020036974"),Home health care patients who had an emergency department visit without a hospitalization,White,2.9,Alabama,0.7%
ObjectId("5ea70f4c0e75000020036975"),Home health care patients whose ability to get in and out of bed improved,White,69.3,Alabama,1.4%
ObjectId("5ea70f4c0e75000020036976"),Home health patients who had improvement in upper body dressing,White,71.7,Alabama,7.3%
ObjectId("5ea70f4c0e75000020036977"),Home health patients who had influenza vaccination during flu season,Black,74.8,Alabama,11.8%
ObjectId("5ea70f4c0e75000020036978"),Adults who received a blood cholesterol measurement in the last 5 years,Black,70.3,Alabama,14.5%
ObjectId("5ea70f4c0e75000020036979"),Home health patients who had pneumococcal polysaccharide vaccination,Black,72.2,Alabama,16.2%
ObjectId("5ea70f4c0e7500002003697a"),Home health care patients who stayed at home after an episode of home health care,Black,62.5,Alabama,19.4%
ObjectId("5ea70f4c0e7500002003697b"),Home health care patients who had to be admitted to the hospital,Hispanic,32.1,Alabama,80.9%
ObjectId("5ea70f4c0e7500002003697c"),Home health care patients who had an emergency department visit and then hospitalized,Hispanic,25.7,Alabama,89.8%
ObjectId("5ea70f4c0e7500002003697d"),Short-stay home health patients who had drug education on all medications,NHPI,98.7,Alabama,
ObjectId("5ea70f4c0e7500002003697e"),People who needed to see a doctor but could not because of cost in the past 12 months,NHPI,29.8,Alabama,
ObjectId("5ea70f4c0e7500002003697f"),Home health care patients whose pain when moving around decreased,White,81.6,Alabama,11%
ObjectId("5ea70f4c0e75000020036980"),Home health care patients whose ability to walk or move around improved,White,75.8,Alabama,6%
ObjectId("5ea70f4c0e75000020036981"),Adults who reported that home health providers talk about pain in the last 2 months of care,White,95.7,Alabama,5%
ObjectId("5ea70f4c0e75000020036982"),Home health care patients whose management of oral medications improved,White,68.8,Alabama,4%
ObjectId("5ea70f4c0e75000020036983"),Home health care patients whose ability to get in and out of bed improved,White,73,Alabama,4%
ObjectId("5ea70f4c0e75000020036984"),Home health care patients whose bathing improved,White,78,Alabama,4%
ObjectId("5ea70f4c0e75000020036985"),Adults who did not have any problem with the care they received from their home health providers in the last 2 months of care,White,95.7,Alabama,2%
ObjectId("5ea70f4c0e75000020036986"),Adults who reported getting the help or advice they needed when they contacted their home health providers in the last 2 months of care,White,30.4,Alabama,0.1%
ObjectId("5ea70f4c0e75000020036987"),Home health patients who had improvement in upper body dressing,White,75.5,Alabama,2.4%
ObjectId("5ea70f4c0e75000020036988"),Adults who reported a home health provider asking to see all the prescription and over-the-counter medicines they were taking, when they first started getting home health care,White,82.6,Alabama,3.4%
